2026-06-25 10:30:01 GET /index.html 200 - 8.8.8.8 "Mozilla/5.0 (Windows NT 10.0)"
2026-06-25 10:30:45 POST /api/login 401 - 178.62.3.223 "python-requests/2.28.0"
2026-06-25 10:31:02 GET /admin 403 - 27.133.154.218 "curl/7.68.0"
2026-06-25 10:31:30 GET /assets/logo.png 200 - 192.168.1.10 "Mozilla/5.0 (Macintosh)"
2026-06-25 10:32:11 POST /api/login 401 - 178.62.3.223 "python-requests/2.28.0"
2026-06-25 10:32:55 GET /dashboard 200 - 50.16.16.211 "Mozilla/5.0 (Windows NT 10.0)"
2026-06-25 10:33:20 GET /api/v1/users 200 - 1.1.1.1 "curl/8.4.0"
2026-06-25 10:34:01 POST /upload 500 - 172.232.59.14 "python-requests/2.28.0"
2026-06-25 10:35:10 GET /index.html 200 - 10.0.0.5 "Mozilla/5.0 (iPhone)"
2026-06-25 10:35:55 GET /api/v1/products 200 - 8.8.8.8 "Mozilla/5.0 (Windows NT 10.0)"
